Seat Type,Route,Type of Traveller,Date flown,Reccomend,Comfort rating,Comment
Economy Class,Los Angeles to London Heathrow,Solo Leisure,July 2017,1.0,,"✅ Verified Review |  This was my first time flying with British Airways from Los Angeles to London Heathrow. I was able to secure a window seat for myself (without paying any fee) during online check-in 24 hours prior to departure. The baggage drop-off experience at LAX and LHR was smooth. At LAX, the BA staff tags your check-in bags, at LHR, you have to do it yourself. The on-board experience was good. This was my first time sitting on the upper-deck of A380 (which had a special storage bin by the window armrest). Food options were consistent with what you find on most transatlantic flights (Chicken or Pasta). There was no WiFi, but BA had a good collection of movies. I enjoyed BA's in-flight ""movie snack"" as well. The ""Flight Map / Tracker"" wasn't working on one segment, which was a bit surprising. Overall, I had a pleasant experience and would consider flying with BA again."
Economy Class,Gatwick to Cagliari,Solo Leisure,October 2017,1.0,,✅ Verified Review |  Gatwick to Cagliari proved to be a rather pleasant and well organised affair. The website was easy to use and very clear. I checked-in online and simply had to drop off my bag. I arrived very early for the flight and noted that there was quite a queue already. The boarding process was quick and efficient and the interior of the aircraft was clean. My seat was comfortable for a short flight. The captain made clear and informative announcements and the two crew I could see worked very hard and were pleasant. The crew made use of Italian and were cheerful and professional. My gripe is the awful use of Marks and Spencer food. This has to be purchased and a good few items were not available. There were no route maps and no entertainment systems. The lavatory was clean. Disembarkation was managed well.
Business Class,Shanghai to Tampa via Heathrow/Gatwick,Couple Leisure,October 2017,0.0,,"✅ Verified Review |  Shanghai to Tampa via Heathrow/Gatwick. We received deplorable customer service recently from British Airways. I purchased business class tickets on 11/28/2016 for flights on September 30, 2017. I purchased two tickets for a total of $9,676.26 plus an additional $652 for seat assignments. The problems occurred on our return flights. We were booked October 17, 2017 on BA168 Shanghai to LHR  London with continuing service, October 18, 2017 from London Gatwick)to Tampa. We were disembarking a cruise ship at the port of Shanghai on October 17, 2017. We checked in online 24 hours before our flights scheduled departure at 11:00 A.M. On the evening of October 16, 2017 the captain announced that the ship would not dock at the port as scheduled at 7:00 A.M. In the morning on October 17, the Captain announced that the Chinese had shut down the port and were not allowing any ships to dock. After these announcements we frantically tried to contact British Airways because we expected that we would miss our 11:00 AM flight. We were unable to do so. We were informed that in order to exit China without a visa, we needed to have proof of our flights leaving the country. We were aware of this requirement. We had not applied for a visa because we were only transiting from the ship to the airplane. We knew that without a visa of valid flights out, we would be escorted to the local Chinese police station until we could arrange flights out of the country. For obvious reasons we did not want to experience that situation. We were able to contact a travel agent via e-mail (our phone was not operating as we were at sea in Chin ). Our agent was able to contact British Airways and explain our situation. There was another flight that departed on October 18, which was 13 hours 40 minutes after our original flight. That was Flt BA 160. We were told here are your choices: 1. Pay a change fee of $884 and be down graded to premium economy on both flights, BA 160 and BA 2167 , even though we would be able to make BA 2167 as it did not depart London (LGW) until 11:55 AM on October 18, 2017. 2. Pay an additional $6,388 per person for a total of $12,776 to keep our business class status on both flights. (We had already paid $10,328.26 for these tickets). 3. Disembark the ship and take our chances with Chinese immigration. Option 2 was outrageous, Option 3 frightening. We felt we had no choice but to choose Option 1. The travel agent advised us to explain what had happened when we arrived at the airport at check-in and request our business class seats if they were available. When we checked in at PVG we asked if there were business class seats available. “Yes, several” was the response. We explained what had happened and asked as a courtesy if we could have those vacant seats. “Yes, for a cost of $12,776 “. Of course we refused to pay that amount. We were then charged additional baggage fees because as we had expected to be flying business class, two suitcases were over the 50 lbs limit for economy. While on board during that flight BA160, I went into the business class cabin and saw that there were indeed vacant seats. When we arrived in London we again asked to be seated in our originally purchased seats. Were we on the same flight as originally scheduled, but I was informed that our business class seats had already been assigned to other flyers. Apparently British Airways sold our seats or an upgrade to other passengers at our expense."
Economy Class,Gatwick to Marrakech,Couple Leisure,October 2017,0.0,,"✅ Verified Review |  Gatwick to Marrakech. Generally a well organised flight and fairly full in Y class. My gripe is about the current food service. This was a fairly long short-haul flight scheduled for 3h 45m in which a reasonable meal service would be welcome and desirable. After a lot of comments from others who have flown BA recently we bought food in the terminal before departure as the coho-ice on board is very limited, especially as much seems to be already 'sold out'. The biggest issue is about the time taken to do the food selling. It took almost all of the flight time for the crew to work through the plane to serve every row even though I observed that about 60% of passengers bought nothing. Of course this led to problems for those wishing to go to the toilets at the rear when food service starts at the front, any passengers from front to middle have no access to aft toilets after the trolley has passed. Passengers resorted to using the forward toilets passing through business class which I assume was not welcomed by those passengers. I overheard a crew member saying that they were not going to duty free sales as they were out of time. It is ridiculous that this paid and limited service takes so long. I remember the days when a British Midland crew could serve a full cooked breakfast with tea or coffee to all 100 or so pax on a LHR to Middlesbrough flight scheduled for 40 minutes or an Aer Lingus crew serving hot breakfast to all on a turbulent flight of 1 hr from Dublin to London. If BA want to differentiate themselves from low cost carriers then this is not the way to do it."
Business Class,Oakland to Heathrow,Solo Leisure,October 2017,1.0,,"✅ Verified Review |  Oakland to Heathrow and this flight was fine. The worst that could be said is that there is no magic, that other airlines manage to provide. Left and arrived on time. FA attentive and professional. Food reasonable and alcohol served in generous proportions. My only real complaint was the inflight entertainment was rather poor with lots of old films and TV programmes and a mediocre choice of music."
Economy Class,London to Sofia,Family Leisure,September 2017,0.0,,"✅ Verified Review |  London to Sofia. Cabin crew were kind. This is the only positive thing. British Airways are now becoming as bad as Ryanair! Onboard passengers have to pay ridiculous amount of money even for a small bottle of water. When I booked my flight from Heathrow to Sofia, I was told I get a free checked in bag for my baby girl. A day before my flight I decided to double check this and called their customer service line and the guy on the phone told me I need to pay for checked in bag if I want one. I told him that there should be one included for my baby daughter but he said this is not true. I asked him to double check this and he said he already did so I had to pay for a checked bag (£30 each way) since I already had my suitcase packed. Next day, as I went to the check in at Heathrow, I was asked how many bags do I want to check in. I asked how many bags am I allowed to check in and the lady said I can check in two bags- one for my baby and the one that I’ve paid for the previous day. The thing is that I only had one suitcase since the guy on the phone told me I can only check one bag (if I pay for it first). After I arrived in Sofia, I rang British airways and explained everything, so they agreed they should refund the money they’ve charged me for the additional bag. They said they’ll refund the £30 for the London-Sofia flight the same day and the other £30 fee for the Sofia-London route in about a week time. A month later I checked my online banking and saw they’ve only refunded £30 for the outbound journey. I rang them and they’ve said they are sorry and they’ll refund the remaining £30 within the next 3 days. When I pointed that it should be fair and reasonable that I get a 20% discount voucher from my next flight price, they said this is something British Airways do not offer. "
Economy Class,Singapore to Nassau via Heathrow,Solo Leisure,October 2017,0.0,,"✅ Verified Review |  Singapore to Nassau via Heathrow. British Airways is becoming a dismal airline to fly with. I will start with the worst and shocking aspect of my flight from Heathrow to Singapore on Oct 23. There were bugs on the flight and I have bites all over my body at least at a dozen places. One can suffer the bad food, service / behavior of cabin staff but having one's health compromised is unacceptable. The toilets were filthy. I was in the paid premium seat (front row) and I could smell the toilet from there. The attitude of staff ranges of sweet to indifferent and curt sometime for no rhyme or reason. The food is inconsistent and becomes a pain when you are on a long haul flight because there are no options available. While flying from Nassau to Heathrow, the dinner was fine but the breakfast (I think it was a morning snack), consisted of a croissant which was a cold lump, coffee which was cold and a oats snack bar. I mean, you cant get a croissant right? The inflight entertainment was mediocre at best and remains much to be desired. The screens in the Singapore- Heathrow sectors were ok to use but the Heathrow to Nassau sector were malfunctioning all the time. I could feel the fingers of the passengers sitting behind me trying to function the 'touch screen'; more like punch screen. The flights were mercifully on time and full marks for that this time. It could learn well from airlines like Singapore Airlines which are pretty consistent and clean. I am giving the airline 4 of 10 only for value for money."
Economy Class,London Heathrow to Madrid,Business,October 2017,0.0,,"✅ Verified Review |  Flew London Heathrow to Madrid. British Airways monopoly of the routes to Spain have a serious impact on the quality. BA owns Iberia so there’s no competition. Planes are the worst of the BA fleet, check-in is a nightmare because they operate each other’s flight, but the online check in does not recognize each other’s booking references. Really the worst of BA and Iberia worlds together."
Economy Class,London to Zurich,Business,October 2017,0.0,,"✅ Verified Review |  London to Zurich. A budget airline at premium prices. Lots of late and cancelled flights. Pay for luggage, food and drinks. Poor customer services even at Silver level. I have had flights cancelled in the past and after a long time on the phone offered an alternative flight from another airport. No assistance for transport."
Economy Class,Bari to Gatwick,Couple Leisure,October 2017,1.0,,"✅ Verified Review |  Bari to Gatwick. More of the same. All held together by cockpit crew. Follows my review of the outbound leg a week back. Check in excellent, not BA staff and security at Bari a breeze. Boarding well organised. Cabin crew chatting to each other as I boarded and ignored me. This is inexcusable. Flight fine, ahead of schedule and good updates from cockpit. Didn’t buy anything this time, smell of coffee far better than the taste from previous experience. Gatwick South unpleasant tho not BA’s fault. Endless staircases, broken escalator and a long walk to security where half the e-gates were out of action. Baggage hadn’t arrived anyway despite being priority so delay at security irrelevant. Had an offer to upgrade to Club for £89 - a joke as there is no lounge at Bari and the onboard value is a max of £30. I do still like flying BA as much as I don’t Easy or Ryanair. But sinking to their levels will put BA out of business for short haul. There is now little differentiator."
Economy Class,London Heathrow to Gibraltar,Couple Leisure,September 2017,1.0,,"✅ Verified Review |  Early morning 0710 flight London Heathrow to Gibraltar. Now I know that British Airways have started charging for food and drink on European flights but their service levels are dropping so low that they are now no better than Ryanair or Easyjet. It might be M&S food, but if you can't get any that does not help. We were seated at the rear of the cabin, since BA started to charge I have noticed that there is only 1 food cart which started at the front. Before there would have been 2 with 1 at the front and 1 at the rear, now by the time the cart get to you it is 1.5 hrs into the flight and they have run out of most things. This flight was early morning and they had bacon rolls on the menu which were going to be their best seller and it sells out. Pros - 23kgs cabin bag allow best in the business."
Business Class,Pisa to London,Couple Leisure,October 2017,0.0,,"✅ Verified Review |  Pisa to Gatwick. I fly this route often as I have a home in Tuscany. Believe me it does not get any better - but the option is Ryanair and that's worse. Flight started in the new South Terminal lounge. The decor and layout of the facility is great. No problems here although it's located in a ""not so easy place"" to find. Breakfast food was ghastly. Cheap baps with greasy bacon or a dried up ""eggy"" thing. Horrible. Didn't touch it and those that did - left it as confirmed by numerous plates with half eaten baps. Had tinned fruit salad and yoghurt plus a G&T. Yes I know, bit early in the day! Short walk to the gate. Plane left on time. the usual horrible 3 for 2 seats in Club Europe. The front row made it easier - but only just. Had a pleasant lunch of chicken and couscous salad. The plane was very old. This was confirmed by the WC. Originally the loo flush button was blue. After 100,000 + uses the blue was partly eroded by finger presses, to a grey colour. The loo basin cannot be described here. Plane landed on time. The Captain came out and I had a nice chat with him. Very nice bloke. Return flight started in the shared lounge. It okay but can get busy. Same plane back (recognizable by the flush button in the loo - unless all the BA319s are like it). Skipped the meal as I'd eaten lunch in Pisa. It looked nice though. A few gin and tonics to suppress my irritation at what a shoddy product Club Europe is. Great flight back into the setting sun. FAs on all flights were great. Morale very low thanks to the miserable, mean cost cutting by the BA CEO, Mr Cruz, who has no idea on how to run an airline. I first flew BA in 1980 and what a difference. Decline is sad and depressing to see as verified by 80% of reviews here be so negative. Time to find a new CEO I think."
First Class,Las Vegas to London Heathrow,Business,September 2017,0.0,,"✅ Verified Review |  Las Vegas to London Heathrow. This particular Boeing 747-400 must have been one resurrected from storage in the desert. The condition of this aircraft was appalling. The First Class cabin was literally falling apart with loose / yellowed bins, and filthy carpets. The entertainment system was old and slow, and low definition. The Premium Economy cabin was directly behind First Class, and those passengers kept using the First Class toilets. It didn't matter, because they were filthy. The dinner in First Class was inedible. British Airways are now a national embarrassment. British Airways are at best a three star airline, and maybe even a two star carrier compared to their competitors."
Economy Class,London City to Edinburgh,Family Leisure,September 2017,1.0,,"✅ Verified Review |  London City to Edinburgh. Flight left on-time and arrived early. Impressed with the legroom on the Embraer 190 (much more comfortable than BA's A320s). Check-in, security and boarding all went smoothly and quickly. Cabin crew were efficient. Light snack and drink provided on this short flight. Would fly with BA again on short sectors, and LCY is an excellent airport to use."
Business Class,Faro to Gatwick,Solo Leisure,October 2017,1.0,,"✅ Verified Review |  Faro to Gatwick. Check in was quiet at the club Europe desk and I was very quickly booked in. Fast track security at the airport wasn’t particularly well managed, although I did get through quicker than I would have otherwise. Disappointingly British Airways do not provide any lounge access at Faro, and there is currently a lot of construction taking place in the main departure lounge, and the builders are not exactly considerate with the noise! There was no priority queue at the entrance to the gate and as usual British Airways did a fairly half hearted job at ensuring priority boarding of the aircraft itself. The aircraft was the new style, which I think is very smart and nicely decorated (not budget airline as some commentators like to say), and whilst the legroom isn’t amazing I am 6’ tall and was quite comfortable and having the extra table space makes it a more usable space. The cabin crew were very friendly and professional whilst also being very efficient. A bar service with nuts was delivered soon after take off along with the menu for the flight. All of the cold parts of the meal and the drinks were excellent, sadly the chicken main was quite overcooked leading to dry chicken and soggy veg. That being said it tasted very nice. Arriving into Gatwick was a dream, especially for a large airport. Although the buildings are quite old and not laid out as well as newer ones, they have done a fantastic job at modernising it and making security very quick. It took a little while for bags to reach the belt but priority bags all came out first so the process was fairly painless. I got a good deal on the flight so I would say it was reasonably good value for money, although the experience in Faro airport does reduce the premium feel considerably."
Economy Class,Los Angeles to London Heathrow,Solo Leisure,October 2017,0.0,,"✅ Verified Review |  Los Angeles to London Heathrow. The inflight entertainment was not working so no tv, video, music or radio. USB socket not working. Headphones not working. Customer service very poor. Cabin crew seemed to be unaware that they were carrying paying passengers upon whom their jobs depend. Food mediocre. There was no apple juice or tomato juice on the dinner trolley and the cabin crew didn't bother to fetch any. Tea served with breakfast was luke warm and stewed. No refreshments supplied unless collected from the galley It took 2 days to get through to customer relations, many calls cutting off after 18 minutes +, others cancelled after going through options. I cannot recommend British Airways who in my case certainly did not fly to serve. The experience was far below expectations and definitely at the lower budget range for customer service. As the British flag carrier the experience was shameful, my last flight with this airline."
Economy Class,Malaga to Gatwick,Business,October 2017,0.0,,"✅ Verified Review |  Malaga to Gatwick. They've introduced new cabin baggage allowances. Ultimately that means everyone tries to jam their huge cases into the overhead lockers, resulting in a Ryanair-like scuffle. They now charge for food. This would be fine if it didn't take the single food trolley the entire duration of most short haul flights to get all the way down the plane. On my previous three flights with 'the new BA' we've been left for over an hour and a half (the last flight was actually over two hours) without any service. As the economy passengers are not allowed to use business class toilets, there was a long queue of passengers stuck behind the trolley desperately trying to get to the toilets at the back of the plane. On the other end of the trolley a whole bunch of passengers waiting for a scrap of food and drink two hours after take off. The cabin crew seem genuinely fed up. One of the key reasons for flying BA was their friendly cabin crew service. This has now been absolutely and totally undermined by the company, giving them no time (or energy, by the look of it) to be nice. Ultimately, if price is everything make sure you check Norwegian before you spend any money with BA. If price isn’t everything don’t fly BA."
Economy Class,London Heathrow to Bangkok,Solo Leisure,October 2017,0.0,,"✅ Verified Review |  London Heathrow to Bangkok. Was looking forward to eventually flying with British Airways after flying reguarly to Bangkok with other airlines - how disappointed I was. A low budget product with a premium price. I will never again use this airline, its the most costly option (usually) for my regular journey to Thailand, but it ranks the lowest of all the airlines I've used on this route in past 30 trips. Seatback screen so small and of poor quality, service is dreadful, seats are old with no powerpoints, no wifi on board. Best part of the trip was getting off. Absolutely shameful for a national carrier of the UK. Lower your costs BA as you really are budget - go fly with any of the Gulf airlines or a vast majority of Europe's best, BA are nowhere near good enough. Current price almost a 3rd more than the other 2 direct flights (EVA and Thai) to Bangkok and British Airways is only half as good as those."
Economy Class,Gatwick to Bari,Couple Leisure,October 2017,1.0,,"✅ Verified Review |  Gatwick to Bari. Employees who do not care for passengers. Queued at Club bag drop. Only 3 desks open, one busy, one with two staff talking, one with staff looking at screen. Barely greeted when it was my turn, just asked if I’d checked in on line. Cursory greeting at lounge. Ignored by cabin attendant on boarding - he pushed past me to talk to ground staff. Good on time flight with usual impeccable pilot. Bought a coffee - dreadful apparently artisan coffee. Almost no eye contact with cabin crew. Flight was a good price."
Business Class,Malaga to Gatwick,Family Leisure,October 2017,1.0,,"✅ Verified Review |  Malaga to Gatwick. Our return trip from holiday was equally pleasant. Check-in at Malaga was a breeze although security was packed even though a quiet Sunday. VIP lounge at Malaga used by BA and other airlines (apparently its the only one there) is pretty useless compared with the old BA lounge that used to be there - cost cutting ?? Guess we were spoiled by Gatwick !! Drink okay but limited, food pretty awful but seating comfortable and it is very spacious. Flight left on time and again arrived half an hour early due I guess to help from Hurricane Ophelia which I guess we were on the fringe of. In board catering and drinks up to the usual quality and very pleasant crew - chatted to the First Officer, nice man. All in all we were well looked after in this Class so can't complain."
Business Class,Gatwick to Malaga,Family Leisure,October 2017,1.0,,"✅ Verified Review |  Gatwick to Malaga. First flight with BA from new home at South Terminal at London Gatwick. Upon arrival at check-in at 6:30 a.m was a bit disappointed to see few staff available to deal with Business class passengers resulting in a 20 minute wait to sort out our bags. However, Fast Track through Customs was efficient and made up for the earlier minor irritation. New lounge in South Terminal is spacious and food and beverages up to the usual good quality, although sadly, the reduction towards a cheap airline is showing in the cracks. A319 to Malaga was uneventful and onboard food was well presented and of good quality. We arrived 30 mins ahead of schedule due to fortunate winds so cannot complain. Overall flight quality has to be excellent."
Economy Class,London Heathrow to Nice,Business,October 2017,0.0,,"✅ Verified Review |  London Heathrow to Nice. Deliberate extortion by BA in my opinion. I booked an economy basic return from Nice to London with BA. Days before the outbound I had to make a change to the outbound flight and go a day earlier. I ended up buying a new single outbound flight as BA app crashed when i tried to change or cancel just the original outbound flight. In the UK I received a medsage that my return flight was ready for check in from BA. However app again gave up and said I had logged in too many times. Upon arrival at Heathrow I was told BA had cancelled my return booking as i had multiple bookings. They said I had to pay approx £350 to buy a new single ticket home, even after I explained my situation. I argued that had I been informed that they had cancelled my flight 5 days ago when they did I could have at least bought a cheaper flight. Even the day before when I got the check in open message would have allowed me to book cheaper. Eventually the customer relations manager offered a ticket for £122 (charging me again for taxes). As i needed to get back and there was no time to go to Gatwick for cheaper flight I had no choice but to pay. Terms and conditions may well tell that flight will be cancelled but when I asked ticket person how many people he thinks read t&c he said he would not like to comment. "
Business Class,Gatwick to Orlando,Couple Leisure,September 2017,0.0,,"✅ Verified Review |  Gatwick to Orlando return. Worst ever long-haul Business Class flight.  We have experienced many airlines and many different classes of travel over the years but this most recent flight highlights the depths to which British Airways have descended (not the world’s favourite airline by far). We have never liked BA’s Business Class (Club World) seats since they changed over to the Yin-Yang layout of 8 seats across the cabin. The seat layout together with the poor service, meant we can honestly say this was the worst ever long-haul Business Class flight we have experienced. To this day I have never understood how from a health and safety viewpoint the CAA regulators ever allowed this seat configuration in the first place. Unless you are sat in an aisle seat, cabin crew have to reach over other passengers to pass hot drinks/meals which is just ridiculous. (True this happens in other seat classes as well but usually at a less precarious angle and generally not from behind your head!) In order to get out of the centre seats (rows E and F) and the window seats you have to climb over another passenger’s feet if they have their foot rest down and seat reclined. In the dimmed cabin lighting this is tricky and potentially dangerous; as a minimum you normally end up kicking the passenger you are climbing over. We are both able bodied but anybody less mobile would really struggle to get out into the aisle for whatever reason. You almost feel imprisoned in the centre seats and you are often also ignored because the cabin crew just pass by quickly, often from behind you so by the time you notice them, they have gone. We should not have to use a call button just to get basic service. The return leg was a night flight, the service overall was very poor, the crew just wanted to turn the lights down ASAP. The service at breakfast was also poor, the offerings were inconsistent. My wife struggled just to get an orange juice on her side of the cabin, whereas I at least got that but struggled to get a second cup of coffee. The entertainment system was archaic (very few recent film titles), the small screen resolution was very poor; this aircraft was delivered to BA in March 1999 and it shows its age. This flight might have been a few hundred pounds cheaper than competitors but in future we will pay the extra to get a decent seat and service. BA are only getting away with retaining these dreadful seats versus aisle access for everybody because the corporate passenger market is letting them. It is obvious if your employer is paying and says you can either choose to have an economy seat or one of those dreadful business class seats, you will obviously choose the business class seat and put up with the difficulties and poor service. It will be marginally better than being seated at the back; but that does not make it right. We will probably never fly BA long-haul business class (Club World) again while we are paying for the tickets unless they stop being so arrogant and re-configure their seating!"
Premium Economy,London to Abu Dhabi,Solo Leisure,August 2017,0.0,,"✅ Verified Review |  London to Abu Dhabi. I told BA at check-in that I would be interested in upgrading to Premium Economy if a window seat was available. The lady replied ""can I check - you are only interested in upgrading if there is a window"". I replied yes. After a series of phone calls, the upgrade was processed (I paid 149 GBP). My seat had no window or view at all as that seat is situated at the back of Premium Economy where the toilets should be. When I complained, I was told that seats could not be guaranteed so I had no complaint. No refund offered, no token gesture offered, nothing. The food was nice and the seat was very comfortable. If it wasn't for the rude customer service I would fly again. I was led to believe I could pay for a window seat and I paid in good faith. I've flown BA for years, but this year has been disappointing. I won't fly with them again."
Business Class,Gatwick to Faro,Solo Leisure,October 2017,1.0,,"✅ Verified Review |  Gatwick to Faro. Pretty good flight all round, and as ticket was bought in sale with car hire as well, it worked out good value. Check in area at south terminal is very nice and I was checked in very quickly, with fast track security equally quick. The new BA lounge is really well decorated and laid out with lots of nice and varied seating, interesting light fixtures and good views of the tarmac. It was early morning and breakfast was served, which was reasonably good. Although the hot options were just bacon roll, omelette roll or porridge which felt quite limited. Staff were all excellent. Boarding was quick, cabin crew friendly although no pre flight drink at all offered. This was an older aircraft with the old style seating, but the aircraft was clean and didn’t show much sign of age. The seats are comfortable enough, although legroom is not amazing. I was lucky enough to be in the front row so had more than most. The cooked breakfast was actually fairly good I think, nothing world shattering but decently cooked and fairly good quality ingredients. Disembarkation was quick enough, although bags took quite a while. Priority baggage didn’t seem to count for a lot, and annoyingly my priority bag tag had come off and ended up being one of the last bags. Overall a good flight."
Economy Class,London Heathrow  to Madrid,Business,October 2017,0.0,,"✅ Verified Review |  London to Madrid in economy class. Late booking and quite an expensive ticket to fly from Heathrow. Online check in and no luggage to check in so airport process was okay. Boarding quite efficient. Cabin was dirty - carpets, table and windows all unpleasant and cannot believe a cleaner set foot from the earlier flight. Everything pay onboard if you want to eat or drink, choice okay in brochure but the speed for serving this was awful. Staff seemed to have real problems with all card payments, and became bad tempered towards those of us wanting to buy. I wouldn't have minded on a cheap ticket, but this was not a true case of rip-off BA in 2017. Will avoid if possible."
Economy Class,Geneva to London,Solo Leisure,September 2017,0.0,,"✅ Verified Review | I was told on the Saturday that my hand luggage was fine (the right size) by BA staff at Geneva airport - it was physically inspected. Then, on Monday, I was ordered to pay £65 (83 Francs). Staff at the airport were insanely rude (to be honest, the supervisor particularly). Their customer service is also awful. It's a joke of an airline compared to competitors like Qatar. When filing a complaint, they did not respond for 3 weeks. They only responded when I chased them up, said waiting time is actually 4 weeks. Can you believe that? The explanation was their IT system failed in May 2017, an internal matter which they clearly still not resolved."
Economy Class,Grand Cayman to London,Solo Leisure,September 2017,0.0,,"✅ Verified Review |  Grand Cayman to London. I can't comprehend is why a flight that sums up to about 12 hours of travel across the Atlantic Ocean, only allows 1 check in free bag for economy class. Upon returning to GCM from LON on October 6, 2017, I had to pay £290 for additional baggage.  Particularly for university students (such as myself) who migrate from such distances to achieve good education.  In addition to the disgusting rates for additional baggage, has BA gotten so cheap that they no longer provide a complimentary travel toothbrush, toothpaste & eye mask for 12 hour flights? That was one of the things I appreciated most about BA as it made me feel valued. I am truly disappointed with BA these days and whenever the day comes that another airline travels directly to LON from GCM you guarantee I WILL abandon BA!"
Economy Class,Sydney to Paris via London,Couple Leisure,September 2017,0.0,,"✅ Verified Review |  Sydney to Paris via London, after flying with them I have to admit it's probably the worst airline I have been flying. When I boarded the plane, I notice some ketchup on the window and wall next to my. I assume for long distance flight airlines should provide you a mask for you to sleep, ear plugs, maybe a small tube of toothpaste. Here you have some headphones and that's all. With British Airways, you can order some special meals. I received my first low callries meal as expected but they could not find the breakfast. One of the cabin crew asked me if I ordered a special meal. The plane looked quite old. I tried BA, never again."
Economy Class,Larnaca to London Heathrow,Couple Leisure,October 2017,1.0,,"✅ Verified Review |  Larnaca to London Heathrow, the return trip from our holiday. BAs product was more like a 'posh' Ryanair style of product even down to the asking for donations towards their charity. There were a few noticeable differences on the aircraft there was in-flight entertainment if you were in a seat where you could view the TV screen. On Ryanair, Easyjet and other low cost airlines you can pay using cash but no on BA it is card payment only in sterling. The aircraft was clean and tidy but overall the main BA product has gone downhill and the service standards have slipped. Comparing this flight to my recent flights from London City with BA Cityflyer, there is a vast standard in the cabin service standards."
Business Class,Funchal to Gatwick,Couple Leisure,October 2017,0.0,,"✅ Verified Review |  Funchal to Gatwick. Due to adverse weather, our return flight was delayed three days. When we did fly, the cabin crew appeared totally unaware of the fact that the passengers had had a difficult and frustrating time. They were totally unsympathetic and provided a chaotic service throughout the flight. The catering service was absymal, no choice of hot meal; hardly a bar service and no tea/coffee - I suspect although the aircraft arrived empty from LGW, they hadn't fully loaded the food & drinks trolleys. In contrast to the outgoing flight, this was a flight to be endured - just shows what a difference the crew can make."
Economy Class,Orlando to Gatwick,Family Leisure,September 2017,1.0,,"✅ Verified Review |  Orlando to Gatwick. The staff that looked after us flying out to Florida and home were outstanding, on the way home the seating had been already arranged and my seat was separate from my two children, I was really worried about flying home away from my children, I spoke to the flight supervisor who kindly asked two passengers if they would switch seats which they were happy to do. The seats were very good and went back enough so you were able to get to sleep, the only thing we weren’t to happy with was the movies but I guess you can’t have everything. All in all I would book to fly with BA again and would highly recommend."
